date,open,high,low,close,volume,Symbol,Name,Industry,Market Cap
2018-02-05,51.26,52.42,49.51,49.65,7359006,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-02-06,48.08,49.45,47.2,48.68,9556611,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-02-07,49.2,50.61,48.79,49.55,6042727,STX,Seagate Technology Holdings,"Technology Hardware, Storage & Periph...",20499797980.0
2018-01-08,83.0,83.0,80.61,81.44,4875269,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-09,81.52,82.1,80.43,80.62,3810738,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-10,79.2,80.9455,78.8,80.91,4941137,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-11,80.92,82.91,80.9,82.25,3822071,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-12,82.68,83.31,82.45,83.12,2990813,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-16,83.7,84.98,83.3,83.88,5574321,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-17,84.54,85.4799,84.2,85.16,4397980,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-18,85.17,86.57,85.07,86.4,4603950,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-19,86.12,87.07,85.38,85.6,3938520,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-22,85.94,86.39,85.1,86.24,4534469,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-23,86.43,87.55,86.01,87.34,3081448,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-24,87.7,87.89,86.18,86.97,4696601,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-25,88.18,89.84,87.645,87.99,7284045,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-26,86.75,89.63,86.71,89.6,8188499,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-29,88.74,89.8,87.18,87.45,5004692,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-30,86.0,87.26,85.11,87.08,4730868,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-01-31,89.18,91.19,88.67,88.98,8524324,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-02-01,87.43,89.12,86.6,87.65,3555220,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-02-02,86.99,87.13,85.01,85.25,5010389,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-02-05,84.2,85.9,81.44,81.45,5205198,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-02-06,80.58,84.6,80.25,84.25,4835812,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
2018-02-07,83.95,85.32,83.1,83.71,3737728,WDC,Western Digital,"Technology Hardware, Storage & Periph...",16237316057.0
